word|count|in title 1|% 1|in title 1 diff|in title 2|% 2|attribute type
door|5491|4126|75.14%|1,365|4484|81.66%|['Paneling/Planking Type', 'Bullet01', 'Bullet13', 'Bullet09', 'Accessory Type', 'Freezer Door Type', 'Bullet07', 'Primary Use', 'Bullet12', 'Garage Door Part/Accessory Type', 'Bullet08', 'Bullet17', 'Flooring Product Type', 'Appliance Type', 'Bullet06', 'Product Type', 'MFG Brand Name', 'Operational Features', 'Type', 'Bullet18', 'Bullet14', 'Sell Pack Options', 'Bullet11', 'Bullet03', 'Door Type', 'Door Bell Or Intercom Type', 'Storage Unit Type', 'Door Locks & Knobs Product Type', 'Builders Hardware Product Type', 'Bullet10', 'Brand compatibility', 'Model/year compatibility', 'Safety & Security Product Type', 'Hasp Use', 'Mounting style', 'Bullet15', 'Installation Method', 'Bullet04', 'Cabinet Type', 'Electrical Product Type', 'Use', 'Alarm Sensor Type', 'Bullet16', 'Required door', 'Storage Product Type', 'Door Configuration', 'Shed Features', 'Mirror Use', 'Strip Door Product Type', 'Bullet02', 'General Features', 'Compatible door type', 'Child Lock Placement', 'Accessory type', 'Pet Door Mount Type', 'Application', 'Bullet05', 'Storage Features', 'Color/Finish', 'Brand/Model Compatibility', 'Features']
wood|3177|1819|57.26%|1,358|2227|70.10%|['Adhesive Type', 'Application Method', 'Wall Decor Product Type', 'Frame Primary Finish', 'Bullet06', 'Fixture Color/Finish', 'Substrate/Surface Use Type', 'Moulding Material', 'Interior Paint & Stains Product Type', 'Bullet10', 'Wall Plate Material', 'Color', 'Power Source', 'Color/Finish', 'Bullet07', 'Door Color Family', 'Handle Material', 'Material Cut', 'Tabletop Material', 'Bullet04', 'Use', 'Table Primary Finish', 'Base Color/Finish Family', 'Fuel type', 'Bullet02', 'Package Contents', 'Deck Tile Product Type', 'Finish Family', 'Patching & Repair Product Type', 'Cooking Accessory Type', 'Core Type', 'Grill/Smoker Fuel Type', 'Bullet05', 'Frame Material', 'Table Top Material', 'Top Material', 'Paint Product Type', 'Bullet09', 'Cabinet material', 'Primary Use', 'Pattern type', 'Bullet12', 'Bullet08', 'Material', 'Bullet17', 'Work Surface Material', 'Materials', 'Product Type', 'Siding Features', 'Roof Style', 'MFG Brand Name', 'Surface Type', 'Fastener Type', 'Bullet16', 'Frame Color/Finish Family', 'Color Family', 'Siding Color Family', 'Door Material', 'Brand/Model Compatibility', 'Paneling/Planking Type', 'Bullet01', 'Bullet13', 'Use with', 'Fencing Product Type', 'Pattern name', 'Cabinet Color Family', 'Flooring Product Type', 'Post material', 'Color/Finish Family', 'Roof Color Family', 'Power/Fuel Type', 'Type', 'Bullet14', 'Outdoor Living Product Type', 'Bullet11', 'Bullet03', 'Pole Color', 'Bullet15', 'Seat Material', 'Cushion Color Family', 'Style Type', 'Finish', 'Window Treatment Product Type', 'Glue/epoxy type', 'Accessory type', 'Cabinet Material']
outdoor|2529|1258|49.74%|1,271|1481|58.56%|['Bullet01', 'Bullet09', 'Landscape Supply Type', 'Bullet07', 'Primary Use', 'Bullet12', 'Bullet08', 'Bullet17', 'Bullet06', 'Product Type', 'MFG Brand Name', 'Camera Use', 'Bullet18', 'Outdoor Living Product Type', 'Exterior Lighting Product Type', 'Bullet14', 'Bullet11', 'Bullet03', 'Indoor/Outdoor', 'Bullet10', 'Brand compatibility', 'Bullet04', 'Bullet16', 'Protection Plan Category', 'Where to Use', 'Collection Name', 'Bullet02', 'Carpet Type', 'Exterior Lighting Accessory Type', 'Bullet05']
1|1808|570|31.53%|1,238|1686|93.25%|['Number of showerheads', 'Actual Product Depth (in.)', 'Longevity (months)', 'Minimum compatible pipe size (in.)', 'Product Weight (lb.)', 'Bit Diameter', 'Number of Faucet Handles', 'Fastener Callout Size', 'Capacity', 'Number of Blades', 'Bullet06', 'Assembled Height (in.)', 'Number of Bowls', 'Compressor Tank Capacity (Gallons)', 'Number of posts included', 'Assembled Depth (in.)', 'Spout height (in.)', 'Bullet10', 'Number of Tiers', 'Number of Spray Settings', 'Minimum window depth required (in.)', 'Number of Holes', 'Number of Gangs', 'Number of Batteries Included', 'Number of Outlets', 'Number of Lights/Bulbs', 'Product Thickness (in.)', 'Inner Size (in.)', 'Fitting 2 size', 'Screw Length', 'Total area covered (sq. ft.)', 'Spout Reach (in.)', 'Bullet07', 'Pipe diameter (in.)', 'Rod Diameter (In.)', 'Product Width (in.)', 'Product Diameter (in.)', 'Number of Faucet Holes Required', 'Wood pieces included', 'Maximum Fastener Size', 'Time before recoating (hours)', 'Capacity (gallons)', 'Size (in.)', 'Actual product thickness (in.)', 'Number of Lights', 'Inlet size (in.)', 'Product Depth (in.)', 'Valve Inlet Diameter (in.)', 'Bullet04', 'Mosaic Sub Unit Width (in.)', 'Air Filter Depth (in.)', 'Actual inside diameter (in.)', 'Fitting Size', 'Container Width (in.)', 'Bullet02', 'Package Contents', 'Diverter type', 'Webbing thickness (mm)', 'Nominal Product Length (ft.)', 'Housing Length (in.)', 'Bullet05', 'Side Inlet size', 'Bullet09', 'Bit Length (in.)', 'Number of doors accommodated', 'Bullet12', 'Bullet08', 'Assembled Width (in.)', 'Glass Type', 'Mesh Size (in.)', 'Package quantity', 'Number of Pieces', 'Density', 'Valve Outlet Diameter (in.)', 'Number of coats recommended', 'Diameter (in.)', 'Pack Size', 'Air Delivery SCFM @ 40PSI', 'Product Length (in.)', 'Number of Cameras Included', 'Container Size (oz.)', 'Shank Diameter', 'Product Length (ft.)', 'Blade gap (in.)', 'Number of Tiles per Case', 'Minimum Recommended Air Delivery SCFM @ 90PSI', 'Maximum compatible pipe size (in.)', 'Trade Size (in.)', 'Nominal Product Height (In.)', 'Drilling Depth (in)', 'Brand/Model Compatibility', 'Slat/vane width (in.)', 'Bullet01', 'Equivalent ready to use amount', 'Mosaic Sub Unit Length (in.)', 'Tint Base', 'Flow rate (gallons per minute)', 'Number of Bulbs Required', 'Product Thickness x Width x Length', 'Container Size', 'Bullet14', 'Bit diameter (in.)', 'Package Quantity', 'Bullet03', 'Product Height (in.)', 'Fastener length (in.)', 'Number of rolls included', 'Gallons Per Flush', 'Number in Pack', 'Number of HVAC Zones', 'Required door thickness (in.)', 'Number of stages', 'Housing depth (in.)', 'Pile height (in.)', 'Piece Count', 'Tape Width (in.)', 'Fastener head width (in.)', 'Cap size', 'Actual outside diameter (in.)', 'Number of Batteries Required', 'Nail Length (In.)', 'Maximum cut diameter (in.)', 'Webbing width (in.)']
ft|1093|0|0.00%|1,093|1005|91.95%|['Product Length (ft.)', 'Hose Length (ft.)', 'Capacity (cu. Ft.) - Fresh Food', 'Tape Length (ft.)', 'Product Width (ft.)', 'Exact Width x Depth']
3|1630|581|35.64%|1,049|1487|91.23%|['Number in Package', 'Longevity (months)', 'Number of Compartments', 'Minimum compatible pipe size (in.)', 'Product Weight (lb.)', 'Bit Diameter', 'Nominal product width (in.)', 'Number of Conductors', 'Pattern Number', 'Fastener Callout Size', 'Number of Blades', 'Bullet06', 'Maximum Drain Diameter (in.)', 'Number of Rinse Cycles', 'Assembled Height (in.)', 'Compressor Tank Capacity (Gallons)', 'Assembled Depth (in.)', 'Bullet10', 'Number of Tiers', 'Number of Spray Settings', 'Number of Poles', 'Actual post thickness (in.)', 'Number of Tracks', 'Number of Gangs', 'Number of Outlets', 'Cord Thickness (In.)', 'Number of Knockouts', 'Horsepower (hp)', 'Minimum product diameter (in.)', 'Number of Lights/Bulbs', 'Approximate Size (WxL)', 'Number of Hinges', 'Screw Length', 'Hole Saw Diameter', 'Actual Tree Height (ft.)', 'Blade width (in.)', 'Models used with', 'Bullet07', 'Width', 'Pipe diameter (in.)', 'Center to center measurement (in.)', 'Product Width (in.)', 'Nominal post thickness (in.)', 'Number of Faucet Holes Required', 'Capacity (gallons)', 'Cable Length (ft.)', 'Number of bundles per 100 sq. ft.', 'Number of Lights', 'Number of Shelves', 'Fitting size', 'Product Depth (in.)', 'Nominal gate width (ft.)', 'Number of rails for panels', 'Bullet04', 'Actual picket thickness (in.)', 'Actual inside diameter (in.)', 'Approximate Rug Size', 'Nominal picket length (ft.)', 'Fitting Size', 'Bullet02', 'Center to Center Measurement (inches)', 'Number of Burners', 'Panel Type', 'Number of Phases', 'Seat Width (in.)', 'Nominal panel height (ft.)', 'Actual picket length (ft.)', 'Bullet05', 'Actual picket height (in.)', 'Brush head widths (in.)', 'Belt width', 'Bullet09', 'Number of circuits/outlets', 'Bullet08', 'Size', 'Term Length', 'Assembled Width (in.)', 'Glass Type', 'Pipe/rod size (in.)', 'Number of Pieces', 'Number of Hooks', 'Product Length (in.)', 'Brush head width (in.)', 'Number of Fan Speeds', 'Product Length (ft.)', 'Collection Name', 'Anchor length (in.)', 'Maximum compatible pipe size (in.)', 'Trade Size (in.)', 'Drilling Depth (in)', 'Number of Drawers', 'Bullet01', 'Showerhead face diameter (in.)', 'Bullet13', 'Mosaic Sub Unit Length (in.)', 'Minimum Drain Diameter (in.)', 'Number of Faucet Holes', 'Number of keys included per door/compartment', 'Character', 'Tint Base', 'Number of Wash Temperatures', 'Number of Bulbs Required', 'Number of Shelves/Baskets', 'Aperture width (in.)', 'Container Size', 'Flush Valve Size (in.)', 'Package Quantity', 'Bullet11', 'Bullet03', 'Fastener length (in.)', 'Product Height (in.)', 'Pull Length (in.)', 'Number of Ports', 'Maximum number of heads', 'Maximum Hanging Length (in.)', 'Quantity', 'Kit contents', 'Piece Count', 'GPM', 'Cord Length (ft.)', 'Number of Rinse Temperatures', 'Actual outside diameter (in.)', 'Number of Handsets', 'Nail Length (In.)']
wall|3243|2197|67.75%|1,046|2685|82.79%|['Installation Type', 'Bullet01', 'Wall Decor Product Type', 'Decor Product Type', 'Bullet09', 'Wall bar installation', 'Landscape Supply Type', 'Artwork name', 'Bullet07', 'Bullet13', 'Primary Use', 'Bullet12', 'Ceiling or Wall Installation', 'Bullet08', 'Mounting Type', 'Bullet17', 'Appliance Type', 'Usage', 'Wall Mounted or Countertop', 'Bath Faucet Type', 'Bullet06', 'Box Type', 'Exact Wet SCOF Rating', 'Mounting', 'Mirror Mount Location', 'MFG Brand Name', 'Air Conditioner Product Type', 'Heating Product Type', 'Faucet mount', 'Type', 'Sink Mount Type', 'Bullet14', 'Exterior Lighting Product Type', 'Commercial Light Type', 'Bullet11', 'Mount Type', 'Clock Type', 'Christmas Indoor Decor Product Type', 'Bullet03', 'Single Box Type', 'Wall Oven Configuration', 'Bullet10', 'Builders Hardware Product Type', 'Mount Location', 'Mounting style', 'Bullet15', 'Floor/wall use', 'Door stop type', 'Bullet04', 'Cabinet Type', 'Electrical Product Type', 'Exact Dry SCOF Rating', 'Kitchen Faucet Type', 'Bullet16', 'Storage Product Type', 'Multifamily Box Unit Type', 'Profile', 'Strippable', 'Bullet02', 'Mount type', 'Paint/Stain/Waterproofer Product Type', 'Color', 'Accessory type', 'Outlet Location', 'Pet Door Mount Type', 'Application', 'Tile Use', 'Exterior Lighting Accessory Type', 'Bullet05', 'Color/Finish', 'Holiday Decor Product Type', 'Accessories/Parts Included']
1/2|1955|911|46.60%|1,044|1739|88.95%|['Drywall Product Thickness (in.)', 'Min Chuck Size Required', 'Hole Saw Diameter', 'Bullet01', 'Bullet13', 'Bullet09', 'Bit Diameter', 'Bullet07', 'Bullet08', 'Size', 'Drive Size (in.)', 'Glass Type', 'Assembled Width (in.)', 'Approx. Cell Width (In.)', 'Fastener Callout Size', 'Bullet06', 'Size (in.)', 'Assembled Height (in.)', 'Product Thickness x Width x Length', 'Bullet18', 'Bullet14', 'Bullet11', 'Bullet03', 'Assembled Depth (in.)', 'Diameter(inches)', 'Outlet Size', 'Chuck Size', 'Bullet10', 'Inside Diameter', 'Bullet15', 'Bullet04', 'Inlet Size', 'Rope Diameter (in.)', 'Socket Size', 'Trade Size', 'Shank Diameter (in.)', 'Compatible ratchet drive size (in.)', 'Horsepower (hp)', 'Washer Size', 'Shank Diameter', 'Fitting Size', 'Bullet02', 'Center to Center Measurement (inches)', 'Product Thickness (in.)', 'Cut Diameter', 'Trade Size (in.)', 'Nail Length (In.)', 'Screw Length', 'Bullet05', 'Thickness', 'Minimum Fastener Size']
kitchen|1921|968|50.39%|953|1042|54.24%|['Bullet01', 'Bullet13', 'Bullet09', 'Kitchen Product Type', 'Bullet07', 'Bullet12', 'Bullet08', 'Bullet17', 'Flooring Product Type', 'Bullet06', 'MFG Brand Name', 'Bullet18', 'Outdoor Living Product Type', 'Bullet11', 'Bullet03', 'Bullet10', 'Home improvement topic', 'Bullet15', 'Bullet04', 'Cabinet Type', 'Application Type', 'Bullet02', 'Faucet type', 'Plumbing Part Type', 'Bullet05']
x|3573|2732|76.46%|841|2961|82.87%|['Bullet01', 'Bullet13', 'Fastener callout size of screw', 'Bullet09', 'Bullet07', 'Width x Height x Depth', 'Bullet12', 'Bullet08', 'Product size', 'Bullet17', 'Fastener Callout Size', 'Connection 1', 'Bullet06', 'Right Side Connection', 'Fitting 1 size', 'Duct Type', 'Product Thickness x Width x Length', 'Approximate Size (ft.)', 'Tarp Width (ft.) x Tarp Length (ft.)', 'Fitting size', 'Inside Duct Length x Inside Duct Width', 'Bullet14', 'Connection', 'Bullet11', 'Bullet03', 'Air Filter Size', 'Connection 2', 'Bullet10', 'Lighted area', 'Door Size (WxH) in.', 'Bullet04', 'Side Inlet Connection', 'Left Side Connection', 'Exact Width x Depth', 'Cover Dimensions', 'Approximate Rug Size', 'Width (in) x Length (in)', 'Bullet02', 'Approximate Size (WxL)', 'Fitting 2 size', 'Bullet05', 'Width (ft) x Length (ft)']
floor|1972|1136|57.61%|836|1487|75.41%|['Floor Options', 'Bullet01', 'Bullet13', 'Bullet09', 'Accessory Type', 'Bullet07', 'Bullet12', 'Garage Door Part/Accessory Type', 'Cleaning Tool Type', 'Bullet08', 'Flooring Product Type', 'Fan Type', 'Product Type', 'Bullet06', 'Box Type', 'Mounting', 'MFG Brand Name', 'Heating Product Type', 'Surface Type', 'Faucet mount', 'Type', 'Sink Mount Type', 'Bullet14', 'Exterior Lighting Product Type', 'Bullet11', 'Bullet03', 'Sign Type', 'Interior Paint & Stains Product Type', 'Bullet10', 'Bullet15', 'Floor/wall use', 'Bullet04', 'Collection Name', 'Location', 'Bullet02', 'Paint/Stain/Waterproofer Product Type', 'Installation Location', 'Application', 'Tile Use', 'Exterior Lighting Accessory Type', 'Bullet05', 'Color/Finish']
bath|1182|368|31.13%|814|667|56.43%|['Bullet01', 'Bullet13', 'Bullet09', 'Bullet07', 'Bullet12', 'Bullet08', 'Bullet17', 'Flooring Product Type', 'Bath Faucet Type', 'Bullet06', 'Product Type', 'MFG Brand Name', 'Bullet14', 'Bullet11', 'Bullet03', 'Bullet10', 'Bullet15', 'Bullet04', 'Bullet16', 'Bath Accessory Type', 'Bullet02', 'Faucet type', 'Plumbing Part Type', 'Bullet05']
